Graph,Num_modules,Qvalue,Tvalue,Epidemic_size(%),SD,SE
poisson,100,0.9,0.18,42.4733812273,5.3845363071,0.0623961269
poisson,125,0.1,0.18,56.0154127033,1.925450842,0.0194728549
poisson,125,0.2,0.18,55.9283473759,1.8945127742,0.019087866
poisson,125,0.3,0.18,55.8689479019,1.8798230213,0.0189254584
poisson,125,0.4,0.18,55.7540201999,1.8969867401,0.0193570076
poisson,125,0.5,0.18,55.475601023,1.9541762073,0.0197653877
poisson,125,0.6,0.18,55.0292910525,2.0241232749,0.0206221356
poisson,125,0.7,0.18,53.9410717634,2.1720597326,0.0221673373
poisson,125,0.8,0.18,51.2894675485,2.6497939036,0.0280546805
poisson,125,0.9,0.18,37.417866562,6.5949600721,0.0826308945
geometric,10,0,0.18,55.0589780138,0.8921338691,0.0086109136
geometric,2,0.1,0.18,54.537830338,0.8643146544,0.0083404591
geometric,2,0.2,0.18,54.5109221635,0.8680573687,0.0083610186
geometric,2,0.3,0.18,54.5392412252,0.8681137483,0.0083763396
geometric,2,0.4,0.18,54.5335392837,0.875760348,0.0084797781
geometric,5,0.1,0.18,54.5714468045,0.8713656366,0.0084104578
geometric,5,0.2,0.18,54.5907002309,0.8738654376,0.0083990586
geometric,5,0.3,0.18,54.5920392412,0.8736252666,0.0084244231
geometric,5,0.4,0.18,54.5583118912,0.8820670183,0.0084556544
geometric,5,0.5,0.18,54.566396928,0.8763543975,0.0084811579
geometric,5,0.6,0.18,54.569556927,0.864707886,0.008299167
geometric,5,0.7,0.18,54.5717737145,0.8814765194,0.0084922401
geometric,10,0.1,0.18,54.6669276942,0.8721914643,0.008381421
geometric,10,0.2,0.18,54.666006226,0.8633947443,0.0082614887
geometric,10,0.3,0.18,54.6547774674,0.883723246,0.008527351
geometric,10,0.4,0.18,54.6520439096,0.8692677924,0.0083314276
geometric,10,0.5,0.18,54.6795904973,0.8788857404,0.0084500432
geometric,10,0.6,0.18,54.6854325291,0.8719731052,0.0083516045
geometric,10,0.7,0.18,54.6645837587,0.8764888352,0.0084437963
geometric,10,0.8,0.18,54.6804949215,0.8788751492,0.0084452587
geometric,100,0.1,0.18,55.259989007,0.8957663032,0.0085735949
geometric,100,0.2,0.18,55.0050782625,0.8904810148,0.0085698479
geometric,100,0.3,0.18,55.1032342593,0.9044058889,0.0087026497
geometric,100,0.4,0.18,55.1378137318,0.9036735388,0.0086520515
geometric,100,0.5,0.18,55.2621033479,0.9103059039,0.0086825841
geometric,100,0.6,0.18,55.3764319678,0.9117748181,0.0087188327
geometric,100,0.7,0.18,55.4508193889,0.9256131116,0.0088269798
geometric,100,0.8,0.18,55.3858248696,0.9769594915,0.0093451514
geometric,100,0.9,0.18,53.2977074719,1.7276964845,0.0169422724
geometric,125,0.1,0.18,55.3570006488,0.9060523747,0.0087229364
geometric,125,0.2,0.18,55.099344958,0.8989885527,0.0086349446
geometric,125,0.3,0.18,55.1438186025,0.8972407311,0.0086317051
geometric,125,0.4,0.18,55.2735782187,0.8922569327,0.008571868
geometric,125,0.5,0.18,55.4282579412,0.9001283373,0.0085874629
geometric,125,0.6,0.18,55.5737417703,0.9188503483,0.0087864923
geometric,125,0.7,0.18,55.6777496067,0.9473456497,0.009112885
geometric,125,0.8,0.18,55.4931591536,1.0427995419,0.0100019818
geometric,125,0.9,0.18,51.7867603388,2.2696914966,0.0226572993
poisson,10,0,0.3,89.2105362982,0.516824613,0.0038154768
poisson,2,0.1,0.3,88.8742589261,0.5105519835,0.0037694771
poisson,2,0.2,0.3,88.8880270952,0.516451652,0.0038248333
poisson,2,0.3,0.3,88.8840003273,0.5114919147,0.0037778586
poisson,2,0.4,0.3,88.8856557779,0.510762755,0.0037718558
poisson,5,0.1,0.3,88.8562833552,0.5168409493,0.0038218515
poisson,5,0.2,0.3,88.8611652241,0.5117584581,0.003787791
poisson,5,0.3,0.3,88.8817546153,0.5113820679,0.0037737548
