Graph,Num_modules,Qvalue,Tvalue,Epidemic_size(%),SD,SE
geometric,125,0.8,0.14,41.9361692188,1.8088661561,0.0206059163
geometric,125,0.9,0.14,27.7276188428,6.1397883285,0.0900479076
geometric,10,0,0.15,47.1024636221,1.0678246287,0.0112973598
geometric,125,0.1,0.15,47.1600353599,1.091827104,0.0116608006
geometric,125,0.2,0.15,47.0544280278,1.070973168,0.0113306707
geometric,125,0.3,0.15,47.1643994079,1.0824180579,0.0115497767
geometric,125,0.4,0.15,47.2459928203,1.07545857,0.0113908824
geometric,125,0.5,0.15,47.3514242594,1.1023276483,0.0116552214
geometric,125,0.6,0.15,47.3458425073,1.1567412154,0.0122600549
geometric,125,0.7,0.15,47.1613676852,1.2445398034,0.0132151307
geometric,125,0.8,0.15,46.1609832587,1.4896164856,0.0161742941
geometric,125,0.9,0.15,35.4721028037,5.2053245866,0.0649651285
geometric,10,0,0.16,50.0353297739,1.0066143772,0.010299496
geometric,125,0.1,0.16,50.164727955,1.0128964396,0.0103410631
geometric,125,0.2,0.16,50.0157593034,1.0126463853,0.0103100715
geometric,125,0.3,0.16,50.0835498239,1.0117877161,0.0102975938
geometric,125,0.4,0.16,50.2079707049,1.0099978204,0.0101864202
geometric,125,0.5,0.16,50.3338427857,1.028257814,0.0104989879
geometric,125,0.6,0.16,50.416617241,1.0547554407,0.010666073
geometric,125,0.7,0.16,50.3624611721,1.095820067,0.0111505335
geometric,125,0.8,0.16,49.7499841034,1.2877369933,0.0132566322
geometric,125,0.9,0.16,42.1321551614,3.8267881145,0.0432274376
geometric,10,0,0.17,52.7034904014,0.9423466734,0.0092789138
geometric,125,0.1,0.17,52.9065595075,0.9648069186,0.00953713
geometric,125,0.2,0.17,52.7080423854,0.9488244872,0.0094201943
geometric,125,0.3,0.17,52.7739334253,0.9563730594,0.0094909296
geometric,125,0.4,0.17,52.8647878023,0.9452529672,0.0093152109
geometric,125,0.5,0.17,53.032379387,0.9638793792,0.0094776229
geometric,125,0.6,0.17,53.1537401075,0.9887453933,0.0097732847
