Graph,num_modules,Qvalue,Tvalue,Duration,SD,SE
poisson,100,0.2,0.18,155.2981538462,20.3583795304,0.206177324
poisson,100,0.3,0.18,155.292498209,20.1083698935,0.2034264212
poisson,100,0.4,0.18,156.2082422729,20.417558867,0.2082882253
poisson,100,0.5,0.18,158.0560842276,20.7755310341,0.2090343328
poisson,100,0.6,0.18,162.187395485,21.5858541911,0.2206778051
poisson,100,0.7,0.18,171.0744513284,23.4496433398,0.2402975536
poisson,100,0.8,0.18,194.2175538935,29.2052630691,0.3062890064
poisson,100,0.9,0.18,280.9340674097,57.9007390778,0.6709550568
poisson,125,0.1,0.18,157.9022194947,20.5372818298,0.2077017498
poisson,125,0.2,0.18,155.5937468277,20.1603262605,0.2031222023
poisson,125,0.3,0.18,155.7160956821,20.3715731275,0.2050944989
poisson,125,0.4,0.18,157.0669512703,20.5084778194,0.2092701818
poisson,125,0.5,0.18,159.781483376,21.1597341116,0.21401875
poisson,125,0.6,0.18,164.1907826448,22.2194813161,0.2263761115
poisson,125,0.7,0.18,175.2712217477,24.5386760882,0.250433771
poisson,125,0.8,0.18,201.0401300303,31.2552430458,0.3309147387
poisson,125,0.9,0.18,299.0503924647,66.4926180958,0.8331126275
geometric,10,0,0.18,82.0040991243,9.0134044002,0.0869977581
geometric,2,0.1,0.18,81.2070025142,9.1473073377,0.0882696389
geometric,2,0.2,0.18,81.0194823267,9.0967927453,0.0876191557
geometric,2,0.3,0.18,81.2984824504,9.1234234546,0.0880309674
geometric,2,0.4,0.18,81.5845677855,8.9757064245,0.0869096197
geometric,5,0.1,0.18,81.1910750885,9.1549356903,0.0883638241
geometric,5,0.2,0.18,81.5172286374,9.3096837356,0.0894789698
geometric,5,0.3,0.18,81.2831504556,9.0331915741,0.0871076314
geometric,5,0.4,0.18,81.3303620658,9.0737009091,0.0869821421
geometric,5,0.5,0.18,81.5898660672,9.1560366823,0.0886100339
geometric,5,0.6,0.18,81.7786477524,9.1084267962,0.0874195275
geometric,5,0.7,0.18,83.2604418043,9.2851172671,0.0894538233
geometric,10,0.1,0.18,81.1729614923,9.1930639253,0.0883417714
geometric,10,0.2,0.18,81.1678264054,9.1850463958,0.0878881389
geometric,10,0.3,0.18,81.013594041,9.0699845464,0.0875194151
geometric,10,0.4,0.18,81.007808194,8.936063834,0.0856469886
geometric,10,0.5,0.18,81.1621371788,9.1165681425,0.0876512056
geometric,10,0.6,0.18,81.5525181176,9.0648479845,0.0868215142
geometric,10,0.7,0.18,82.2068677494,9.0707960128,0.0873849739
geometric,10,0.8,0.18,84.8102493075,9.1387128326,0.0878154239
geometric,100,0.1,0.18,82.9155368267,9.2042005171,0.0880956183
geometric,100,0.2,0.18,82.5911827359,9.2578025216,0.0890956216
geometric,100,0.3,0.18,82.8678703704,9.1620010905,0.0881613966
geometric,100,0.4,0.18,83.2342102851,9.4096851976,0.0900912522
geometric,100,0.5,0.18,84.1136280932,9.3510165252,0.0891908832
geometric,100,0.6,0.18,85.787582297,9.4750546169,0.090605064
geometric,100,0.7,0.18,88.5561113132,9.6357278742,0.0918897692
geometric,100,0.8,0.18,96.5989569037,10.7648708206,0.1029718723
geometric,100,0.9,0.18,135.4024425426,19.9089155301,0.1952323648
geometric,125,0.1,0.18,83.1272592455,9.3249405357,0.0897750125
geometric,125,0.2,0.18,82.9296060522,9.3285574687,0.0896024497
geometric,125,0.3,0.18,82.9577973161,9.2715462159,0.0891948505
