Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
7,4.8,95.0145976563,5.8560427119,0.0411307519,31.68324207,6.807345192,0.0478123607
41,4.8,95.381045534,15.2889992277,0.0986366519,18.5655123616,6.3860103423,0.0411992093
10,4.8,83.1151296766,20.2583935934,0.1351190276,18.96979403,6.832317915,0.0455700571
43,4.8,97.0712325186,12.4443439826,0.0821395424,22.4540147257,6.5111284932,0.0429770437
12,4.8,86.2709413703,12.4639232235,0.083746738,30.490744921,6.1394171189,0.0412515504
13,4.8,79.1641174598,18.5442870506,0.1260728744,32.8086522463,6.8424003409,0.0465178886
15,4.8,94.0034846844,5.8500678176,0.0381811364,25.7792213324,5.8890126161,0.0384353141
17,4.8,76.8962150466,6.1379659596,0.0484900419,39.8685015291,8.1046790452,0.0640271108
57,4.8,79.6804330297,8.0830957918,0.0619198916,36.8213133032,7.8494837179,0.0601303255
26,4.8,90.2618313512,11.3558496945,0.0794426217,25.674497137,6.9323982271,0.048497286
29,4.8,93.7022877463,9.7987358407,0.0663030933,29.5176960762,6.7368785262,0.0455850523
62,4.8,88.5665148276,13.1445565816,0.0896159593,21.7745189179,6.5569748995,0.0447036453
63,4.8,93.9794248305,9.3371815156,0.0606668722,20.3622087133,5.8918552691,0.0382814054
33,0.85,27.6077415138,14.7816090261,0.1674976582,17.6499743195,9.3788864911,0.1062767606
66,0.85,19.6215688239,8.3926645212,0.1653586561,27.6502329193,10.8696372488,0.2141618557
35,0.85,29.0827558092,17.6166619262,0.1590705724,13.6025275173,8.5861373574,0.0775289774
4,0.85,16.3610608326,5.8208880256,0.1781997274,39.2905342081,13.1130165768,0.401439775
5,0.85,16.6435532234,6.4916716182,0.1739950628,36.7485632184,12.6833676138,0.3399499351
6,0.85,22.7444148391,12.0949478627,0.161972997,21.0796269727,10.1649297724,0.1361266008
7,0.85,18.8898280324,8.3706680338,0.1553323143,28.3929063361,10.9086599326,0.2024291713
41,0.85,28.4486400579,18.1655674713,0.1629542982,13.9557415305,8.9799614991,0.0805547818
10,0.85,22.1419329153,14.1899328979,0.1415670364,13.8537872002,8.7912783166,0.0877069135
43,0.85,25.5641931684,14.9325752586,0.1620618779,17.9062426384,9.6572678963,0.1048094481
12,0.85,12.8609530583,2.9918568244,0.1534790167,36.5263157895,10.9466092854,0.5615492078
13,0.85,12.6643757159,2.3370684624,0.1558045642,40.5066666667,11.0042900725,0.7336193382
15,0.85,17.933223198,7.0746886467,0.1388261746,26.1197535618,9.9489601712,0.1952278257
17,0.85,15.0634928299,4.5517296872,0.1726569483,38.5107913669,12.0080110589,0.4554898219
57,0.85,15.6396835268,5.2523309331,0.1604185879,33.4692164179,11.1578307345,0.3407864953
26,0.85,22.1372898341,11.1448205536,0.1555713987,20.7809820733,9.7362512116,0.135909072
29,0.85,18.0114407601,8.3678632101,0.1427123758,25.5255962769,10.5229360775,0.1794667491
62,0.85,24.1972808794,12.9413962945,0.1556382894,17.4576222158,9.2259591763,0.1109549906
63,0.85,23.2868411656,12.5905651986,0.149327904,17.3651709101,9.0940137139,0.1078577479
