Graph,num_modules,Qvalue,Tvalue,Duration,SD,SE
geometric,125,0.7,0.14,119.6958041958,15.3779433357,0.1718447324
geometric,125,0.8,0.14,141.7077601869,20.4518763641,0.2329800083
geometric,125,0.9,0.14,229.8963217896,53.4079661368,0.7832966453
geometric,10,0,0.15,94.0005596597,11.331260743,0.1198823532
geometric,125,0.1,0.15,95.4632143265,11.1732210057,0.1193308917
geometric,125,0.2,0.15,95.2707633759,11.3741053931,0.1203356405
geometric,125,0.3,0.15,95.9898667881,11.4149683614,0.1218016778
geometric,125,0.4,0.15,96.631478573,11.3074321527,0.1197643814
geometric,125,0.5,0.15,98.9286752376,11.6872343672,0.1235724282
geometric,125,0.6,0.15,102.4151875983,12.1923726329,0.1292243727
geometric,125,0.7,0.15,109.7428120419,13.6740248379,0.145197466
geometric,125,0.8,0.15,127.1984201839,16.7894118495,0.1822998656
geometric,125,0.9,0.15,210.4528037383,46.8701804576,0.5849639625
geometric,10,0,0.16,89.1396566164,10.1981503997,0.1043456276
geometric,125,0.1,0.16,90.7711069418,10.5009174522,0.1072080477
geometric,125,0.2,0.16,90.6146988701,10.5263116934,0.1071716918
geometric,125,0.3,0.16,90.8774601202,10.5003577796,0.1068686811
geometric,125,0.4,0.16,91.602685383,10.612980084,0.107038127
geometric,125,0.5,0.16,93.11676397,10.8345046624,0.1106253036
geometric,125,0.6,0.16,96.0569587892,11.0082254754,0.1113192043
geometric,125,0.7,0.16,102.1736384345,11.8249108278,0.1203245577
geometric,125,0.8,0.16,116.0964391691,14.3266199446,0.1474856525
geometric,125,0.9,0.16,186.1957381651,36.8001713885,0.4156951121
geometric,10,0,0.17,85.1796587163,9.5731879292,0.0942633828
geometric,125,0.1,0.17,86.6222395935,9.8748548982,0.09761308
geometric,125,0.2,0.17,86.3256776737,9.7366605667,0.0966682829
geometric,125,0.3,0.17,86.6446720504,9.8797575723,0.0980455097
geometric,125,0.4,0.17,87.1128484024,9.8327514898,0.0968990918
geometric,125,0.5,0.17,88.4442618196,9.8494792654,0.0968478554
geometric,125,0.6,0.17,90.7709819248,10.1945183966,0.1007680351
geometric,125,0.7,0.17,95.5262396296,10.6526298332,0.1046287975
geometric,125,0.8,0.17,107.1077148438,12.682427367,0.1253292398
geometric,125,0.9,0.17,163.6597275204,28.4790925163,0.2973193057
geometric,10,0,0.19,79.1356006679,8.8084645204,0.0825749198
geometric,125,0.1,0.19,80.0918385029,8.8579377452,0.0824502712
geometric,125,0.2,0.19,79.9001044205,8.8072888123,0.082156973
geometric,125,0.3,0.19,80.0186694715,8.7276907083,0.0817100652
geometric,125,0.4,0.19,80.600559881,8.8774161149,0.0830318023
geometric,125,0.5,0.19,81.5250240196,9.0532970317,0.0846102526
geometric,125,0.6,0.19,83.1106437768,8.907605759,0.0825273737
geometric,125,0.7,0.19,86.406659152,9.2234549247,0.0858860212
geometric,125,0.8,0.19,94.3527835408,10.389132172,0.0965939957
geometric,125,0.9,0.19,133.7701211792,20.078147307,0.1909349111
geometric,10,0,0.2,76.5735673293,8.2635348646,0.075363219
geometric,125,0.1,0.2,77.4622657157,8.4289805805,0.0767604326
geometric,125,0.2,0.2,77.5012074278,8.5152004026,0.0777036556
geometric,125,0.3,0.2,77.5169428024,8.2862236353,0.075607881
geometric,125,0.4,0.2,77.9533683071,8.4898036656,0.0774719031
geometric,125,0.5,0.2,78.5405026782,8.4124118228,0.076366104
geometric,125,0.6,0.2,80.0418003716,8.4602865779,0.077745014
geometric,125,0.7,0.2,82.9074365125,8.5727602229,0.0779696326
geometric,125,0.8,0.2,89.6837286725,9.5222724173,0.0868717788
geometric,125,0.9,0.2,122.652920082,16.9831062599,0.1569284174
geometric,10,0,0.1,144.4426078972,23.9984630475,0.3636130765
