Network,Qrel,Assortativity,Clustering,Betweenness,Path_length,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
46,0.2672179195,-0.1330861789,0.3857384815,0.0316289855,1.7274666667,34.5851401615,20.4444089872,0.1947263201,19.4666606187,10.5459234616,0.1004464775
49,0.5197185996,-0.0688888889,0.1566666667,0.1481666667,2.1853333333,65.584,30.4985728191,0.192889911,13.616,7.7396682099,0.0489499598
50,0.3219995411,-0.1622574956,0.3695531136,0.0637762238,1.7015384615,46.5716565031,25.8399186741,0.1977937426,15.0278900803,9.0881786821,0.0695661971
51,0.2434697463,-0.3162393162,0.5851666667,0.0829761905,1.4978571429,48.1175,31.4089946313,0.1986479241,10.62924,8.0457552177,0.050885824
52,0.406949579,-0.5481422181,0.244202381,0.1608333333,1.965,49.0275,30.5593356235,0.1932742087,10.62732,7.5125887427,0.0475137831
53,0.5825282458,-0.1643519801,0.1159940476,0.1235833333,2.7301666667,47.0862956607,26.9171530205,0.188480866,15.4460897279,8.6932341769,0.0608722737
54,0.5388699636,-0.1134408602,0.1817948718,0.1159207459,2.2751282051,55.5220927516,27.8202673477,0.1916498221,15.3636579347,8.568757729,0.0590289401
55,0.1468371435,-0.1341875052,0.6044891145,0.0187321937,1.487037037,32.2484264202,19.8487846442,0.1913674852,19.8880832869,11.0719278445,0.106747442
56,0.3927202171,-0.1258064516,0.2560112045,0.0714215686,2.0713235294,37.4831930127,23.3009983609,0.1848994445,15.3172344311,9.5288405327,0.0756138125
57,0.1713577671,-0.1216743395,0.3567666039,0.0092914242,1.9848909657,22.5478866828,10.7066829015,0.1900727702,35.9177434604,13.2870741015,0.2358817391
58,0.157524026,-0.1777618919,0.547199576,0.0163893387,1.6227948718,28.4277307834,16.9285474837,0.187436629,22.9470393527,11.5806605188,0.1282236394
59,0.1681085672,-0.1745704334,0.50790732,0.0161212121,1.7093333333,28.5236465982,15.3103311345,0.1896243448,25.4790612057,11.7646221392,0.145709374
60,0.0683495774,-0.1902635076,0.7554991041,0.0065235325,1.3914119513,28.5124204169,14.7705227688,0.1970454225,30.3858337783,12.9910335854,0.1733062358
61,0.6970257248,-0.0023201856,0.1511111111,0.1626373626,3.1142857143,43.2094638878,24.0826347437,0.168844075,14.2942882422,8.0423729641,0.0563853182
62,0.2617366485,0.0376662905,0.5275144855,0.0404347826,1.93,32.7356953993,18.0241171732,0.1853630793,19.0892649392,10.2605643815,0.1055213851
63,0.4858611825,-0.1121009021,0.2546231546,0.0501282051,2.2030769231,31.5044064521,18.0411469583,0.1801504406,18.7195134111,9.948225684,0.0993383206
65,0.1555555556,-0.1372872048,0.7755411255,0.0363636364,1.3272727273,49.6722109625,26.0867153428,0.2058608077,14.4856769212,8.7197163993,0.0688108042
66,0.4622965774,-0.0844206755,0.3591632903,0.0175568482,2.0534108937,27.3063050669,13.5918153386,0.1850811781,29.2545892824,12.2797559675,0.1672147278
67,0.3888888889,0.1584316226,0.3844444444,0.073992674,1.9619047619,39.4192125984,23.0828863311,0.1832032805,14.8519055118,9.0478929721,0.071810936
68,0.2581629552,-0.1388578219,0.4503918304,0.0391304348,1.9,33.4390560944,18.7584040552,0.1875746621,19.0479952005,10.1143396346,0.1011383396
69,0.5872100642,0.6137897531,0.8543340717,0.0410314323,1.8616600791,33.2625554756,17.2133559208,0.1762162044,18.5433871306,9.7230111537,0.0995362049
