Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
10,1.1,27.5424601132,18.1734591304,0.1683160665,14.7706296106,9.5349069461,0.0883088915
11,1.1,13.7115730521,3.7908602055,0.0890550748,28.8090507726,9.1058871493,0.2139159497
12,1.1,12.972972973,3.0498680495,0.0979253614,33.4092783505,9.7890384991,0.314307084
13,1.1,12.81985985,2.3354771826,0.0963954595,34.8586030664,9.9769123646,0.411791243
14,1.1,28.5858199671,16.9284295675,0.1251077918,13.4253099569,7.8112849772,0.0577284863
15,1.1,34.1579210395,20.2696677174,0.2616148895,30.1912377145,12.0888243162,0.156027049
16,1.1,28.4074881133,7.5090636787,0.1271809591,60.9847963282,15.837494041,0.2682395261
17,1.1,18.2022276504,7.2191369972,0.1751928753,39.9534746761,13.4965712284,0.3275326568
18,1.1,51.2672645839,27.5527047707,0.2241613589,19.8924410908,9.2177502298,0.0749931244
20,1.1,38.269,27.8555854184,0.176174191,9.52688,7.6077642883,0.0481157261
21,1.1,47.356,29.522407241,0.1867160978,9.99296,7.4707342637,0.0472490721
22,1.1,47.1365,29.8105537981,0.1885384966,10.55424,7.7162126735,0.0488016139
23,1.1,53.3586666667,30.504536804,0.1929276305,11.72652,7.6975820028,0.0486837832
24,1.1,36.0924444444,27.6762972475,0.175040273,9.8104,8.0723758485,0.0510541876
26,1.1,28.0323450135,15.5692997701,0.1840620529,22.1186582809,11.0185680216,0.1302627787
27,1.1,33.1563922255,18.470766166,0.1891678538,18.6515628278,9.9996564432,0.1024112119
28,1.1,29.4148898239,20.4120782756,0.1723720148,15.1222990801,9.877894089,0.0834149509
29,1.1,24.4416449464,13.3211661628,0.1755980066,27.648305821,12.2696759196,0.161737389
30,1.1,54.3213333333,30.3280850844,0.1918116519,9.90232,7.0828058436,0.0447955974
31,1.1,37.2383675822,23.0658798689,0.188100273,14.726607701,9.3244841933,0.0760403693
33,1.1,34.4716008169,19.3498362946,0.1959734598,18.6556569905,10.2021069895,0.1033260527
34,1.1,42.8118064802,23.4430055817,0.1912838589,14.1138482024,8.6041953953,0.0702061727
35,1.1,36.5503315665,22.1509449222,0.1837825567,14.6835547601,9.1334699146,0.0757788193
36,1.1,47.1905,31.3673868811,0.1983847736,10.60688,8.1951166353,0.0518304685
37,1.1,30.1559895213,20.3974800022,0.1715103733,14.9009473982,9.6779089776,0.0813758259
38,1.1,31.2349073347,21.77074897,0.1809710446,15.2148977336,10.0598116893,0.0836229673
39,1.1,31.1316100125,21.6617397972,0.1805082308,15.2315117006,10.0274747214,0.083559388
40,1.1,34.5888508872,17.9941171772,0.1820096342,17.9847554737,9.2981596746,0.0940504402
41,1.1,35.4249166319,22.5680478588,0.1881062584,15.0172294011,9.5986201561,0.0800051708
42,1.1,36.377172673,23.5181588117,0.1926617991,15.1316019059,9.7999208674,0.080281386
43,1.1,32.5905438236,19.8451390125,0.1918322727,19.2323864698,10.8278568132,0.1046670613
44,1.1,32.1590673933,21.7389427658,0.1759791243,15.2348623853,9.9393516499,0.080460141
45,1.1,30.8064086463,17.1549840342,0.183300249,18.5224340678,9.8374350058,0.1051125599
46,1.1,31.5101321586,18.6380226561,0.1844083788,18.8246696035,10.1763259439,0.1006866342
49,1.1,57.6468,30.805623671,0.1948318711,12.97832,8.1385852565,0.0514729327
50,1.1,43.0684016009,24.4350143089,0.1927665551,14.6445730645,8.9853806137,0.0708851996
51,1.1,44.063,30.1587803301,0.1907408746,10.19568,7.9584589801,0.0503337141
52,1.1,44.248,29.1384968041,0.184288035,10.14792,7.5141067116,0.0475233836
53,1.1,42.3529946496,25.426421703,0.183256167,14.9170432705,8.6545644938,0.0623761509
54,1.1,49.9576591216,26.4705470846,0.1864030593,14.8008033323,8.6111255961,0.0606387223
55,1.1,29.2671521382,18.0990373615,0.180945143,19.3247376312,10.6847700297,0.1068209984
56,1.1,34.4108151266,21.5504623363,0.1749297296,14.9322000395,9.2978193931,0.0754723962
57,1.1,20.6464848082,9.5928707737,0.1916658454,35.4578842315,13.0619559534,0.2609782712
58,1.1,25.7064529734,15.1896491955,0.1801031628,22.5810487839,11.3278999226,0.1343145308
59,1.1,25.6603078623,13.6071271165,0.1807707487,24.6606071303,11.5306827404,0.1531851753
60,1.1,25.6545774862,13.0396892887,0.188624772,29.7825905001,12.7536668576,0.1844873332
61,1.1,39.1727994785,22.3461033127,0.1603076421,14.0486336267,8.0297586126,0.0576043014
62,1.1,30.1880102636,16.6756434682,0.1800905239,18.7450431537,9.9704874999,0.1076774231
63,1.1,29.1766144529,16.4171271157,0.170724847,18.3189142425,9.7900448986,0.1018085506
65,1.1,46.5370950888,24.9369580233,0.2020993067,14.3551395731,8.7052699451,0.070551068
66,1.1,24.8609809214,12.2509851044,0.1810841987,28.8811448547,12.0845226527,0.1786236847
67,1.1,36.1238572433,21.5279724973,0.1747990105,14.4471255274,8.9379512318,0.0725727902
68,1.1,30.7038766424,17.1644409644,0.178864201,18.7251601694,10.0871292766,0.1051141905
69,1.1,31.4115338164,16.3028011182,0.1753902145,18.2546296296,9.4028402354,0.1011584546
2,1.15,57.6224291426,31.8948370273,0.2156386002,16.2009416282,8.2171990108,0.055555866
3,1.15,23.7762237762,11.93000984,0.1891509002,36.3046757164,14.8425686253,0.2353296648
4,1.15,23.1733049729,10.8087855857,0.1925540689,42.002221517,15.3348635511,0.273184286
5,1.15,23.4274389651,11.3660633517,0.190069012,39.5083892617,15.2063891067,0.2542888654
6,1.15,30.1586520723,17.1358771099,0.190035334,22.5756979461,11.3087186798,0.1254126717
7,1.15,25.8240247465,13.4484165399,0.1849027269,30.4514177694,13.1855882715,0.1812890923
8,1.15,22.5382342467,10.984516375,0.1850914104,38.7819420784,14.8778915085,0.2506956
9,1.15,28.8401839719,14.8345681491,0.189968327,25.2246638242,11.5917505144,0.1484414935
10,1.15,28.7646374886,18.8550897017,0.1718293411,15.0701768956,9.5704595804,0.0872170745
11,1.15,13.7650808703,3.8192496623,0.0831648405,28.408724514,8.7166469107,0.1898065364
12,1.15,13.2600645759,3.2604667827,0.0942394418,32.8287385129,10.3586435681,0.2994027703
13,1.15,13.446884805,2.6627733296,0.0997216449,36.4347826087,10.8095340879,0.404820233
14,1.15,29.8302363331,17.8052442234,0.1293055947,13.5074626866,7.7853203,0.0565387061
15,1.15,35.9139283422,21.1068942358,0.2631790507,30.253420398,12.0320036334,0.1500254495
16,1.15,29.9777060888,7.7014944578,0.1242499798,60.1121811556,14.9987735914,0.241978661
17,1.15,18.8845055189,7.5775140404,0.1722162282,39.4158057851,13.5581140572,0.3081389558
18,1.15,53.6684381459,28.0984920325,0.223497168,19.9476148298,9.0487265639,0.0719741386
20,1.15,39.978,28.515075241,0.1803451708,9.72204,7.6357670367,0.048292831
21,1.15,49.3417142857,30.0360213458,0.1899644786,10.17608,7.4559154927,0.04715535
22,1.15,49.486,30.4784481888,0.1927626316,10.75648,7.7326721132,0.0489057126
23,1.15,56.8084444444,30.8440225363,0.1950747268,12.01468,7.5404604964,0.0476900596
24,1.15,37.444,28.3720641564,0.1794406893,9.97624,8.1552287192,0.0515781952
26,1.15,29.3366670455,16.3346692839,0.1880905958,22.3589233625,11.2236691741,0.129238406
27,1.15,34.754624866,19.2703288061,0.1917564314,19.0549559362,10.2285521692,0.101782937
28,1.15,31.1932577944,21.5732533064,0.180981376,15.6183404884,10.2973774066,0.0863863
29,1.15,25.7847077104,14.1475329414,0.1793703325,28.0249156084,12.4957420048,0.1584280035
30,1.15,56.046,30.6041263667,0.1935574902,10.06244,7.1429392582,0.0451759145
31,1.15,38.7461535128,23.686999879,0.1909869329,15.0455077363,9.4760616648,0.0764049463
33,1.15,35.7844482005,19.9486948768,0.1968184665,18.7897400954,9.9670040595,0.0983367817
34,1.15,44.3216496643,23.8875137727,0.1931696112,14.2961679309,8.6376987001,0.0698499189
35,1.15,37.7736802568,22.8607966337,0.1889193006,14.7719729564,9.2160498328,0.0761604994
36,1.15,49.5225,31.9902835835,0.2023243182,10.86696,8.2797041226,0.0523654468
37,1.15,31.6570881226,21.2106506895,0.1754444865,15.0815544609,9.6351433344,0.0796973558
38,1.15,33.0977874486,22.9229205852,0.1893357355,15.5987174239,10.3255893849,0.0852859501
39,1.15,32.8870713568,22.5018479571,0.1852019629,15.5955832543,10.2558571632,0.0844110618
40,1.15,35.7683341793,18.753110105,0.1863055158,18.1370904066,9.3633847979,0.0930219161
41,1.15,36.514387145,23.3751979048,0.1926774532,15.0552384835,9.7308670642,0.0802097459
42,1.15,37.6128352112,24.3007024887,0.1972540193,15.3102062331,9.8623241567,0.0800546026
43,1.15,34.4985093504,20.6746567884,0.1965097554,19.6532658777,10.9407492466,0.1039903095
44,1.15,33.5478817373,22.7249532006,0.1808472597,15.4525015833,9.9775805562,0.0794025002
45,1.15,31.6855456578,17.4740894846,0.1832487243,18.5550423403,9.7833211676,0.1025965401
46,1.15,33.3444835123,19.5953802426,0.1910222297,19.2504038772,10.3263169615,0.1006643436
49,1.15,61.616,30.8841147518,0.1953282923,13.34812,8.0709189356,0.0510449733
50,1.15,44.7795576321,25.2957508807,0.1963567623,14.753494818,9.0652296832,0.0703683065
51,1.15,46.012,30.7879173703,0.1947198866,10.4402,8.0755794814,0.0510744492
52,1.15,46.7905,29.9867530711,0.1896528787,10.41176,7.478570298,0.0472986316
53,1.15,44.4420502941,26.3625807795,0.187711304,15.1579294261,8.7698063629,0.0624442577
54,1.15,52.525782401,27.2246970762,0.1893345163,15.1046624105,8.6322333847,0.0600329814
55,1.15,30.9182106173,19.0305563002,0.1864576265,19.7106652587,10.9861281846,0.107639911
56,1.15,35.9891398061,22.4726401463,0.1801793975,15.0757906917,9.3527401982,0.0749876776
57,1.15,21.6495009827,10.1887337651,0.1891348285,35.6454169538,13.2436236695,0.2458431587
58,1.15,27.0190544788,15.9812106378,0.1828844227,22.7501309586,11.5076969361,0.1316908061
59,1.15,27.237473576,14.4553998595,0.1852647469,25.2854796321,11.7249595933,0.1502706043
60,1.15,27.2899073718,13.9175948825,0.1914802057,30.3507476812,12.9842656171,0.1786393319
61,1.15,41.0859486149,23.260185784,0.164824977,14.1921667085,8.0120909698,0.0567748135
62,1.15,31.4664048866,17.4829686904,0.1825903737,18.8125,10.0715626972,0.1051863919
63,1.15,30.4129145792,17.1380929257,0.1739751018,18.5698680956,9.8240320895,0.0997273729
65,1.15,47.6739578842,25.3178121182,0.202691733,14.3728368158,8.7348462668,0.0699302578
66,1.15,25.5926895272,12.8481153111,0.1802989001,28.8353682552,12.2985889854,0.1725873417
67,1.15,37.4129480459,22.3552144463,0.178744505,14.5552998338,9.0192461593,0.0721147495
68,1.15,32.1105063161,17.9395247352,0.1818018709,19.0133511348,10.1326736712,0.1026860554
69,1.15,31.9359817634,16.4819098804,0.1722575876,18.0851993446,9.4100098029,0.0983469513
2,1.2,60.8344093305,31.7104388536,0.2126733076,16.5097607053,8.0919561044,0.0542705536
3,1.2,24.8100026207,12.4465135536,0.187766318,36.5901228949,14.6978118762,0.2217290816
4,1.2,24.5714102947,11.617343097,0.1941624763,42.7712290503,15.7920108912,0.2639343536
5,1.2,24.6266504187,12.2348275493,0.1961909096,39.5474415017,15.2641395616,0.2447672771
6,1.2,31.7904584346,17.9452153131,0.1937110604,22.9176182708,11.5687822575,0.1248801443
7,1.2,27.4257995387,14.4928900326,0.191276327,30.5357951576,13.4156411566,0.1770588584
8,1.2,24.1457478875,12.0332348996,0.187561938,39.4475218659,15.5211043566,0.2419273319
9,1.2,30.2463662791,15.7103139891,0.1963789249,25.50171875,11.9344432022,0.14918054
10,1.2,29.877322822,19.2723973871,0.1728553034,15.1954790443,9.5120303519,0.0853139783
11,1.2,14.0449042793,3.9991493885,0.0821820137,28.3327702703,9.3000784885,0.1911154357
12,1.2,13.4252638439,3.5590323823,0.0921089933,32.726054923,10.1955743542,0.2638650028
13,1.2,13.3331034721,2.7318078574,0.0912124095,34.9576365663,10.6896208316,0.356916051
14,1.2,31.0930325987,18.6766623007,0.1342290726,13.6200929752,7.775088636,0.0558795207
15,1.2,37.3656689338,21.2436009862,0.2551151306,30.5158638592,12.1586934657,0.1460141656
16,1.2,31.8401795849,7.8113146264,0.1217844915,60.3643655809,14.5740262163,0.2272204433
17,1.2,19.8390824635,8.2675786855,0.1749580684,40.1034482759,14.0520926983,0.2973696519
18,1.2,55.6760803794,28.3141563764,0.2217327827,20.1154176377,8.9127611007,0.0697972878
20,1.2,41.2435,29.1861261176,0.1845892692,9.84156,7.7308561471,0.0488942274
21,1.2,51.3502857143,30.579257908,0.1934002083,10.32608,7.440870368,0.0470601963
22,1.2,51.8215,30.9630971925,0.1958278211,11.02496,7.7442583246,0.0489789902
23,1.2,60.0791111111,30.8724442749,0.1952544817,12.35624,7.5148262164,0.0475279341
24,1.2,38.7604444444,29.1311770674,0.1842417409,10.05332,8.1156833956,0.0513280886
26,1.2,30.9587285311,17.119709994,0.1938176977,22.6156113817,11.2215816036,0.1270431048
27,1.2,35.8847922038,20.0375437293,0.1962767909,19.1198426406,10.3320951054,0.1012075381
28,1.2,32.1279166091,22.1431805596,0.1839779439,15.6304707994,10.1504861897,0.0843359234
29,1.2,26.6603276028,14.8047240432,0.1826074536,28.0810893047,12.8108557545,0.1580142758
30,1.2,58.166,30.7573803176,0.1945267533,10.17808,7.0431049626,0.044544507
31,1.2,40.7552182163,24.7292236377,0.1966729116,15.2537634409,9.5280467546,0.0757770937
33,1.2,37.4693454065,20.70911382,0.2011257215,19.0942275042,10.3522786088,0.100540734
34,1.2,46.1240927034,24.6546261366,0.1967277499,14.4630077677,8.625398071,0.0688250207
35,1.2,39.2332268371,23.5093551066,0.1917997022,14.9717784878,9.1999228553,0.0750570339
36,1.2,51.7745,32.5085742497,0.2056022762,11.09588,8.2431381782,0.0521341834
37,1.2,33.3373245761,22.1651797375,0.1813106428,15.4342589495,9.7580418986,0.0798205505
38,1.2,34.5370089237,23.8274063106,0.1940267908,15.7730256614,10.3792933564,0.0845186822
39,1.2,34.5742718941,23.6166081004,0.1929381603,15.9608890075,10.5231795423,0.0859701314
40,1.2,37.2387996487,19.5084655554,0.1887631229,18.3211309802,9.598749454,0.0928771111
41,1.2,37.9550829392,24.0174078639,0.1960294497,15.2779961362,9.8481540558,0.0803803737
42,1.2,39.1664778612,25.0044866482,0.2011786143,15.6489513206,9.9910085905,0.0803846642
43,1.2,36.1572897762,21.6761978184,0.20151049,19.9666407398,11.0703516407,0.102914358
44,1.2,35.5537194979,23.5984198495,0.1866260535,15.8186253049,10.1231333758,0.080057921
45,1.2,32.754158635,18.2626100299,0.1889887318,18.6674876847,9.8971069179,0.1024191877
46,1.2,34.0947531145,20.0956548295,0.1916306841,19.1137582977,10.3523480064,0.098719228
49,1.2,65.93,30.5942331167,0.1934949198,13.72088,7.7980466801,0.0493191776
50,1.2,46.3965646004,25.857553415,0.1989513517,14.9170613308,9.0813762677,0.0698732805
51,1.2,48.1865,31.6153438658,0.1999529913,10.68464,8.1039193031,0.0512536859
52,1.2,49.0645,30.5226324184,0.1930420773,10.63348,7.5248457187,0.047591303
53,1.2,47.0963959516,27.0631899616,0.1901572386,15.4096766231,8.6165596465,0.060543535
54,1.2,55.4771478403,27.7572761035,0.1911705285,15.2899155678,8.5321037958,0.0587624948
55,1.2,32.7249710937,20.1839069935,0.1946799405,20.169411108,11.3329851521,0.1093100992
56,1.2,37.9147919791,23.260142155,0.1845519996,15.3775889204,9.4386184311,0.0748884462
57,1.2,22.7927221484,10.8061540269,0.1892905675,36.1006443694,13.684798139,0.2397155546
58,1.2,28.4739485248,16.8802727712,0.1891413873,23.2138104206,11.7609314237,0.131779795
59,1.2,28.2065975851,14.9938942128,0.1867102902,25.3144673593,11.7377284391,0.1461631416
60,1.2,28.3806917433,14.7442371501,0.1980922228,30.6037906137,13.4215148714,0.1803211442
61,1.2,43.5557082781,24.2570663905,0.1699542786,14.4640420205,8.0304340194,0.0562642901
62,1.2,32.5526232783,17.9865702189,0.1844315714,18.9617285249,10.0789756473,0.1033482923
63,1.2,32.1531129712,18.0612179418,0.1799654657,18.9634630659,9.9734086203,0.0993769708
65,1.2,49.6700605456,26.2013847738,0.2069074942,14.633262659,8.9021671127,0.0702987688
66,1.2,26.9256211152,13.6071878595,0.1849478841,29.3022353593,12.3777266911,0.1682371394
67,1.2,39.0854995302,22.9682767768,0.1817791011,14.7603507673,9.0109899217,0.0713161751
68,1.2,33.322947873,18.6738523287,0.1866079434,19.0555222688,10.3026555008,0.1029545121
69,1.2,33.1423180897,17.1591076228,0.1782770442,18.3517918826,9.553551627,0.0992580141
2,1.25,63.1288879188,31.6220459461,0.2101701032,16.5200547752,7.8633651506,0.052262408
3,1.25,26.4989890754,13.6139478529,0.1943660061,37.0631879331,15.1209986722,0.2158821344
4,1.25,25.9092509495,12.3748625852,0.1938310273,43.0242885182,15.8073736182,0.2475954335
5,1.25,26.5286559051,13.0163184818,0.1948384755,40.6946000448,15.8807646841,0.2377157555
6,1.25,33.4105044368,18.8281958343,0.1991872008,23.3709009513,11.6603529739,0.1233571761
7,1.25,29.1872037327,15.5204982978,0.1986382253,31.3233415233,13.557374811,0.1735132996
8,1.25,25.7135822001,12.8459610434,0.1943015197,40.150766415,15.4074653882,0.2330455409
9,1.25,31.3273858711,16.2782713781,0.1960383999,25.8468455402,12.0308900756,0.1448874015
10,1.25,31.0329449578,20.0022025556,0.1793000334,15.4293290478,9.7099564319,0.0870401901
11,1.25,14.4461310126,4.4040286849,0.084057983,28.2826958106,9.263136255,0.1768018797
12,1.25,13.8941931061,3.8583565112,0.0948139386,32.5972222222,10.4000983372,0.2555684738
13,1.25,13.7117230949,2.885469538,0.0879242439,34.5580315692,9.5318273005,0.2904479486
14,1.25,32.876230661,19.8086366768,0.1409519331,13.8272911392,7.839032135,0.0557800494
15,1.25,38.9430954218,21.453615177,0.2486884717,30.9063423811,11.908037619,0.1380369533
16,1.25,33.7546201123,7.7785373347,0.1164744078,60.8011210762,14.5478227486,0.2178364604
17,1.25,21.2587775915,8.898150076,0.1777498296,41.2825219473,14.3885481208,0.2874262576
18,1.25,57.6434288205,28.4318230403,0.2191867338,20.2429573279,8.794478369,0.0677984309
20,1.25,43.0415,29.8497994591,0.188786708,10.04008,7.7871685222,0.0492503781
21,1.25,53.4371428571,30.9636773379,0.1958314902,10.54876,7.4482818463,0.0471070706
22,1.25,54.142,31.2270929803,0.197497477,11.25776,7.758177607,0.0490670235
23,1.25,63.4506666667,30.720211882,0.1942916795,12.67432,7.393549387,0.0467609121
24,1.25,40.2657777778,29.8698490236,0.1889135126,10.32704,8.3034790804,0.0525158128
26,1.25,32.4888873692,18.0548025525,0.1975120187,23.0615126855,11.4567702807,0.1253322942
27,1.25,37.5017916303,20.8320601583,0.2021767972,19.3884336442,10.3734637458,0.100675289
28,1.25,33.5516474631,23.0090121327,0.1888714831,15.8087729937,10.2979247461,0.0845314135
29,1.25,28.639884748,15.8177010625,0.1882926228,28.7073827405,13.027971267,0.1550839069
30,1.25,60.2506666667,30.7208117948,0.1942954737,10.4302,7.0740715264,0.0447403567
31,1.25,42.1692792569,25.2901590688,0.199463099,15.4455710376,9.567719943,0.0754604613
33,1.25,38.6225820519,21.4239354573,0.2038157609,19.2807493891,10.3582105406,0.0985424254
34,1.25,47.434500083,25.0412492622,0.1976229198,14.5929247633,8.6498390598,0.0682636251
35,1.25,40.506301608,23.9952989139,0.1937374078,15.0764667536,9.4435166549,0.0762467033
36,1.25,53.867,33.0024061396,0.2087255433,11.30736,8.2861432422,0.0524061713
37,1.25,34.6207711647,22.7309160417,0.1831233831,15.6512201454,9.8386834575,0.0792617859
38,1.25,36.2523126616,24.6877434254,0.1986366224,16.09205671,10.5406177218,0.0848093998
39,1.25,35.6342340937,24.2524416446,0.1946684715,16.0413633142,10.5024394059,0.0843005358
40,1.25,38.6357949594,20.1482074001,0.1917746584,18.5777314731,9.6279625674,0.0916408689
41,1.25,39.5131269592,24.8843922601,0.2010995406,15.5666797283,9.8813557381,0.0798547169
42,1.25,40.5920512659,25.6825713017,0.2040678661,15.6989708946,10.0422514605,0.0797934444
43,1.25,37.7829029832,22.6279635226,0.2068487136,20.1614439709,11.1988868026,0.1023722408
44,1.25,37.2122328923,24.4381144205,0.1895452875,16.0778439512,10.2942898684,0.0798438905
45,1.25,34.4152137817,18.8410336621,0.1919359514,18.951743462,10.0545036093,0.1024264778
46,1.25,36.3546900808,21.1201422164,0.196920658,19.8043119186,10.6534746998,0.0993312084
49,1.25,69.8484,29.8679262327,0.1889013518,14.10064,7.6268965897,0.0482367294
50,1.25,48.2946697047,26.4810560761,0.2012212742,15.1424447139,9.1037402757,0.069176479
51,1.25,50.2515,31.8930713126,0.2017094939,10.937,8.103860253,0.0512533125
52,1.25,51.468,30.9714784277,0.1958808287,10.8842,7.4695696235,0.0472417063
53,1.25,49.4749951751,27.6440052661,0.1920185651,15.6445527357,8.6022535304,0.0597522813
54,1.25,58.4120955896,28.2736050864,0.1929590558,15.4939916162,8.4321305473,0.057546816
