Network,T_value,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
66,0.04,14.3369175627,2.8896981177,0.9632327059,30.1111111111,11.0397709763,3.6799236588
67,0.04,15.2991452991,5.2416232843,0.5934969666,11.3333333333,5.7393528329,0.6498537404
68,0.04,15.4418604651,4.8479308729,0.7393025272,14.7441860465,5.9105464402,0.901349882
69,0.04,17.6328502415,6.0579401952,0.8243812428,16.6666666667,9.0778525769,1.2353392652
1,0.05,15.2882205514,2.4810764252,0.3286266006,12.0350877193,6.175687794,0.817989831
2,0.05,12.7450980392,2.5403861551,0.3919900939,11.8095238095,7.034737262,1.0854835256
3,0.05,73.1572755669,13.8614704232,0.8784349955,46.7469879518,11.8801005095,0.7528707792
4,0.05,87.9696490384,5.2904880003,0.2899169565,44.2162162162,8.1826800958,0.4484081071
5,0.05,83.2353347136,10.3013572168,0.5804157254,45.2095238095,9.9372909068,0.5599029127
6,0.05,23.4445927904,11.486756542,1.110466669,21.9252336449,9.1372718628,0.883333412
7,0.05,44.3287624852,21.8319143679,1.6317938941,35.9944134078,15.6720928382,1.1713872164
8,0.05,82.1927299861,9.4715206658,0.5311365046,45.4433962264,10.9263516689,0.6127193762
9,0.05,38.9572883417,18.0907928502,1.4625539171,27.7189542484,13.0666754283,1.0563780974
10,0.05,12.5,3.9929785312,0.4033517424,10.8673469388,5.3273222494,0.5381408126
11,0.05,0,0,0,0,0,0
12,0.05,0,0,0,0,0,0
13,0.05,0,0,0,0,0,0
14,0.05,11.9883040936,2.2774505742,0.3016556977,11.3859649123,5.8781617426,0.7785815428
15,0.05,12.9032258065,2.2809896167,1.3169299692,24.3333333333,4.4969125211,2.5962936546
17,0.05,26.701306199,10.0696874161,1.0441779432,42.4193548387,14.025570029,1.4543838611
18,0.05,15.2777777778,3.4020690872,1.1340230291,15.3333333333,8.1921371516,2.7307123839
19,0.05,19.1428571429,10.8458587978,0.4850415509,7.07,5.7086863638,0.2553002154
20,0.05,15.125,6.8681784339,0.3071542772,6.258,4.9156318007,0.2198337372
21,0.05,16.6285714286,6.9561894331,0.3110902487,6.436,4.8425100929,0.216563635
22,0.05,14.4,5.6581799194,0.2530414986,6.174,4.8567194689,0.2171990976
23,0.05,12.4444444444,4.0612593072,0.1816250377,5.77,4.4448959493,0.1987817899
24,0.05,14.4666666667,8.033848147,0.3592846116,6.574,5.7345029427,0.2564547679
25,0.05,14.12,8.4985645847,0.3800673625,6.896,5.4292894563,0.2428052059
26,0.05,21.1373092926,10.5587118912,1.0403807966,20.3495145631,10.2414622153,1.0091212572
27,0.05,20.2431042543,9.2943636525,0.9637806141,16.9462365591,7.958718208,0.8252806334
28,0.05,16.2408759124,9.5478247207,0.8157257165,13.7153284672,9.2806595105,0.7929002521
29,0.05,13.1944444444,4.0801196727,0.8328509406,24.25,9.946733132,2.0303683984
30,0.05,18.8666666667,6.2932062134,0.2814407378,6.2,4.8049973985,0.2148860163
31,0.05,17.1515151515,7.4377736926,0.7091638963,12.8636363636,7.1483974971,0.6815729587
32,0.05,24.48,10.6174196489,0.4748254416,6.028,4.8533716116,0.2170493769
